,Review
30,"I am very sad to see oneplus brand  comprising on its strengths.Oneplus was known to be the best Android phones that could give very tough competition to Iphones.But it doesn't look like that anymore.I have been using oneplus 5t, since then I didn't upgrade, as there was no need.My oneplus 5t is still a rocket, superfast, super slim, beautiful user experience, instant reaction to touch.Where as this new oneplus 10 pro 5g 12gb RAM 256 capacity = is not even as good as oneplus 5t which came 5 years ago.Pros of oneplus 10 pro:- charges fast.- Camera in day is goodCons:- drains the battery as fast as it charges.- gets heated even when no application is in use.- touch screen not as reactive as it was in 5t.- more fatter than its predecessor.- battery drains even more faster if playing some game. I mean unbelievably fast draining of batter.- Camera at night = still useless, Iphone is far better.If you don't mind wasting your 72,000 INR on a shitty phone.Be my guest."
31,The phone is 10 days old and it has started heating up on normal use. There are a lot of software glitches and phone randomly crashes and takes 10 mins to restart. Seems like a hurried update.The battery charging is super fast; However it discharges even faster.Please opt for another phone and not this one.
32,"Well, I am very disappointed with Oneplus. It has everything one plus said, But just to think I pay 70K and there is no call recording!!Please buy this at your own risk. You may pay high price but not get Basic things."
33,"This is a review for phone users, not gamers, photographers, whole-day social media people. My usage of phone is for calling, some texting, and occasional videos and photographs. My last phone lasted for more than 5 years and is still working. This is my first OnePlus phone, so I don't know about their previous phone quality.Look and feel:Feels solid in the hand, grip is good with the supplied cover.Battery life:I have been using it for over a week and for me a single charge lasts for more than a day. In fact, recently I did a drive from South India to North India of over 2000kms and the phone was connected over Android Auto for more than 10 hrs each day. The battery lasted well.Heating?I didn't find any major heating issues. Some mild heat, yes. Its similar to if you keep running any machine non-stop, or even if you keep running, your body heats up. Its normal. I am not sure what everyone's expectation is with respect to phone's not heating up. Use it reasonably, it performs very well. Well, if you are always on phone, then probably it would heat up.  I don't even use 120hz refresh rate. To a normal human eye, the difference between 60-90-120hz is not perceptible. I keep it at 60, battery lasts long, doesn't heat. Phone is happy, I am happy :)Camera:Decent to nice photographs. Low ligt photography is also pretty good. For serious photography, I have a DSLR and other camera and I trust them more than any phone camera. For occasional clicks, this done a fine job.Gaming:I am not a gamer and have never played any game on any phone so don't have an opinion.Speed/StorageUltra fast with respect to installing, uninstalling apps. 256GB storage is more than sufficient for my use. My previous phone had 64GB and in 5 years, it never got full. Well, I keep a tight control on what gets installed and downloaded on my phone. I don't let junk accumulate on phone, keeps the phone and battery life long.Sound:Very good sound quality of speakers. Well its a phone and it can do only as much. For more serious viewing, I watch on my TV and home theater.Overall:A fantastic phone at this price point. I couldn't find anything that is bad with the phone. With my usage, it will easily last for more than 4-5 years."
34,                                     Pathetic phone
35,"Update after 5 days :tip for those howare planning to buy  if you keep refresh rate to 60hz and use battery saver phone gives battery back of 2 upto 2days.Had been using OnePlus 5  for 5 years thought an upgrade to 10 pro will be amazing but it's total let downPros over OnePlus 5 only front camera is an update and screen which is good but due to poor battery it's not usable so I would not term it as an upgrade really.Being a photographer and mobile photography enthusiast I have compared the back camera with s20Fe which now comes at 36k.I have to say s20fe back cam is real good than op10 pro . And I should have buyed s22 ultra staight away. I did not expect op10 to be as good as s22 ultra but it's even not worth for what it is priced at.So guys this phone is mere compromise in your life and nothing else. You think you will get everything but you don't get any of it trust me.If you really want a beast phone and don't have money to buy s22 ultra or an iPhone please take emi and buy , you won't ever regret I think"
36,"                                     Good and performance is excellent, also no heating issues ,only normal heat that all phones had .But little bit upset there is No IP68 😌"
37,"This is my 4th one plus device, using it since 2017. So i have the right to give perfect and honest review, it's probably the best heating Device. 50 seconds of camera on is enough to generate the heat. Heat in the sense not normal heat it's at hot as micro own . Pizza can be made on this without any difficulty . I am not telling this as sarcasm . The heat level is in intolerable limits . Other wise the phone is as smooth as marble.battery is good charging lists long. Pictures are great . Gaming is out of the level . Videos are awesome . Hope OnePlus looks into this and realise how much fans are savvy about this brand . We are proud of it . Please don't let us down ."
38,Been travelling with One plus since one plus one days. Though they went down trajectory since 7T. This phone has proved they are still one of the best in the business.Good performanceDecent cameraGood Battery lifeSuper fast charging ( literally)The smart phone you can get for this money.
39,"Its been 8days after buying the flagship oneplus 10pro mobile and it is not getting ON, so what needs to be written,I need this to be replaced with the new one"
